date,dem_goods_hdln_yoy,sup_goods_hdln_yoy,amb_goods_hdln_yoy,dem_goods_hdln_mom,sup_goods_hdln_mom,amb_goods_hdln_mom,dem_hous_hdln_yoy,sup_hous_hdln_yoy,amb_hous_hdln_yoy,dem_hous_hdln_mom,sup_hous_hdln_mom,amb_hous_hdln_mom,dem_serv_ex_hous_hdln_yoy,sup_serv_ex_hous_hdln_yoy,amb_serv_ex_hous_hdln_yoy,dem_serv_ex_hous_hdln_mom,sup_serv_ex_hous_hdln_mom,amb_serv_ex_hous_hdln_mom,dem_goods_core_yoy,sup_goods_core_yoy,amb_goods_core_yoy,dem_goods_core_mom,sup_goods_core_mom,amb_goods_core_mom,dem_hous_core_yoy,sup_hous_core_yoy,amb_hous_core_yoy,dem_hous_core_mom,sup_hous_core_mom,amb_hous_core_mom,dem_serv_ex_hous_core_yoy,sup_serv_ex_hous_core_yoy,amb_serv_ex_hous_core_yoy,dem_serv_ex_hous_core_mom,sup_serv_ex_hous_core_mom,amb_serv_ex_hous_core_mom
1970m4,.43933392,1.3539195,.25484562,.00010620899,.0023025109,.00013864794,.14461279,.40614605,.048351288,.00032344711,5.8610485e-06,0,.54624081,1.270628,.31601191,.00056932226,.00077237387,.00084765023,.40650368,.59809685,.15034676,.00011737787,.00058313162,.000096236778,.18620491,.52256584,.06223917,.00041771409,7.5692210e-06,0,.6806612,1.5728593,.39050579,.00067836919,.00099747826,.0010355611
1970m5,.40931702,1.4126301,.17907619,.0001887546,.00065233931,.00013850964,.14461279,.37794113,.048661232,0,.00060035952,3.1554116e-06,.54883957,1.2549996,.31785965,.00029274789,.0012097387,.000097762444,.39607286,.60782433,.14945269,.00049619097,.00004609958,.00017852406,.18620491,.48655272,.062644482,0,.00077379902,4.0669870e-06,.68421364,1.5541315,.39277077,.00037860157,.0015050066,.0001260053
1970m6,.38944483,1.1301994,.21696091,.00023483737,-.00024071755,.00048496915,.14461279,.39499998,.062870979,0,.00034982857,.00014196592,.52652359,1.2892365,.31032562,.00028287069,.00094973564,.00037882343,.3772974,.58171749,.17478466,.00029674912,.00038969758,.00038653097,.18620491,.50857067,.080955029,0,.00045077052,.00018292977,.64970255,1.5869975,.38906336,.00030645906,.0011106825,.00048813174
1970m7,.46246052,1.050961,.19500256,.00058323133,.00081814866,.00016550992,.14722347,.34377575,.062870979,.000026123422,.00032691227,0,.57451725,1.2195945,.3303647,.00074657332,.0005891936,.00034840623,.39293766,.57585239,.14052391,.00021666146,.00086796714,.00015187793,.18955469,.44286251,.080955029,.000033648968,.00042108807,0,.71775913,1.497376,.40937662,.0009616437,.00070828391,.00039306915
1970m8,.33689737,1.0918856,.24558306,-.00024003933,.0003381143,.00057232293,.14722347,.38601756,.065016747,0,.00060915528,.000021494507,.59735775,1.1755228,.32263994,.00052947504,.00066605897,.00011218431,.3583312,.62366724,.17164946,.00036526236,.00029239617,.00039459436,.18955469,.49730539,.083720684,0,.00078404543,.000027665639,.74721575,1.4410853,.39435625,.00068148877,.00080090878,.000093846043
1970m9,.44782162,.97279549,.28796196,.0012274664,.00054705504,.00034259105,.11357069,.40780306,.065016747,2.6312923e-06,.00037695613,0,.59380531,1.1726737,.33766031,.00020838373,.0013742859,.00038258114,.39047003,.57731867,.21605492,.00062745064,.00040128393,.00034577123,.14624596,.52530766,.083720684,3.3847068e-06,.00048488946,0,.74799061,1.4201522,.41373968,.00026804997,.0015371097,.00049212511
1970m10,.46819448,1.0833144,.30210018,.00039031281,.0017445929,.00026860085,.11165142,.423944,.065016747,.00031317383,.00033411928,0,.6131053,1.1342287,.35562515,.00051400362,.001038091,.00038887197,.39082766,.62177181,.23475885,.00038541507,.0011871534,.00034607813,.1439333,.54619312,.083720684,.00040350808,.00043049519,0,.7730484,1.3648868,.43205023,.00066226674,.0011044212,.00045177669
1970m11,.4573226,.97769499,.32055378,.000092738308,.00099041825,.0002085287,.11165142,.42077303,.065016747,0,.0004907336,0,.62692165,1.1728406,.36690235,.00076102978,.0010552333,.00035302079,.37679672,.68634748,.25473833,.00011931579,.0016783545,.00021380073,.1439333,.54211617,.083720684,0,.00063137081,0,.78526735,1.3967395,.45189857,.00092405936,.001125094,.00045419147
1970m12,.54290295,.80358982,.35221577,.001009799,.00012078019,.00042705378,.11165142,.51381588,.016653538,0,.00095996889,0,.69963932,1.0709047,.38422346,.00097406597,.00065198756,.00021470587,.47050714,.67698956,.26384592,.0011082378,.00020940443,.00022453374,.1439333,.66227913,.021469593,0,.0012387261,0,.88537931,1.2448072,.47430992,.0012569167,.00063454104,.00027705252
1971m1,.36383867,.83329678,.35489798,-.00054646225,.00036590881,.00013902543,.10250807,.49986839,.01809597,.00032596596,0,.000014428081,.64483881,1.1321902,.3813386,.00024894247,.0013080983,.000070693051,.50699711,.71717501,.26597977,.00080825586,.00040387764,.00016628143,.13228655,.64431429,.023329258,.00042108301,0,.000018638204,.803864,1.3243198,.47061443,.00021129905,.0016352102,.00009132133
1971m2,.31485558,.83947182,.29169321,.000012668312,.00067683042,.000023558434,.12772083,.50326586,.01809597,.0002727542,.00036986009,0,.63188076,1.1500835,.34142733,.00077435951,.00074565929,2.6355817e-06,.52462816,.71579218,.25831461,.00061077095,.00051570777,.000030239426,.16462803,.64837933,.023329258,.00035010523,.0004747496,0,.77655315,1.3527632,.41869879,.0008966407,.00090283871,3.3830127e-06
1971m3,.27695894,.97055435,.29736757,-.00028982887,.0013630436,.000060683524,.14141798,.47395229,.01809597,.00014985954,.00031015032,0,.66850185,1.1186838,.33272505,.00077404577,.00079230091,.00012515901,.51374435,.71663857,.25446415,-.00002068034,.00057708629,7.3205156e-06,.18216372,.61041117,.023329258,.00019212763,.00039762864,0,.82317591,1.2958646,.40740967,.00099236646,.00085249514,.00016046029
1971m4,.29332638,.87342262,.30785799,.00026949876,.0013367063,.00024291058,.12266636,.50697327,.01809597,.00013585856,.00033480747,0,.65916777,1.1336923,.26448965,.00047515577,.00092019292,.00016694437,.53628683,.7191658,.27441978,.00034187239,.00060846267,.00029534119,.15779734,.6526947,.023329258,.00017385441,.0004284438,0,.81624985,1.2990832,.3249526,.00060804357,.0010274787,.00021363406
1971m5,.32894611,.9051919,.30351877,.00054470712,.00097085116,.000095292293,.12266636,.52542686,.017929077,0,.0007844069,1.3986704e-06,.70322752,1.077497,.29145479,.00073180837,.00065153511,.00036687916,.55165291,.7573247,.26878119,.00064885675,.00042633369,.00012202199,.15779734,.67586899,.02310276,0,.0010044347,1.7910003e-06,.86222887,1.2315273,.35943985,.00083644543,.00083429238,.00046978955
