date,dem_goods_hdln_yoy,sup_goods_hdln_yoy,dem_hous_hdln_yoy,sup_hous_hdln_yoy,dem_serv_ex_hous_hdln_yoy,sup_serv_ex_hous_hdln_yoy,dem_goods_hdln_mom,sup_goods_hdln_mom,dem_hous_hdln_mom,sup_hous_hdln_mom,dem_serv_ex_hous_hdln_mom,sup_serv_ex_hous_hdln_mom,dem_goods_core_yoy,sup_goods_core_yoy,dem_hous_core_yoy,sup_hous_core_yoy,dem_serv_ex_hous_core_yoy,sup_serv_ex_hous_core_yoy,dem_goods_core_mom,sup_goods_core_mom,dem_hous_core_mom,sup_hous_core_mom,dem_serv_ex_hous_core_mom,sup_serv_ex_hous_core_mom
1970m12,.67602396,1.0227203,.12615919,.51596165,.88624954,1.2683988,.11615644,.039738588,0,.095996886,.10683044,.077245504,.62291622,.78847408,.16264915,.66504478,1.1095405,1.4947534,.1304073,.023980279,0,.12387261,.13785203,.078998998
1971m1,.50516129,1.0468721,.11818409,.50230026,.82546473,1.3327837,-.04399484,.039842039,.033752259,.00028714311,.031963557,.13080983,.66876411,.82154274,.15249252,.64744949,1.0203481,1.5782833,.093253881,.044587608,.043601189,.00037093167,.030262034,.16352102
1971m2,.4508853,.99505186,.14339685,.50569773,.80864429,1.3146877,.0033522826,.067815587,.027275421,.036986008,.077435948,.074829489,.67952871,.8191824,.184834,.65151453,.98778009,1.5601754,.063753963,.051740911,.035010524,.047474958,.089664072,.090622172
1971m3,.42027235,1.1242628,.157094,.47638416,.8420229,1.2778521,-.024685785,.13780175,.014985953,.031015033,.08781068,.081339888,.66900253,.81545115,.20236969,.61354637,1.0301471,1.4962435,-.0010807655,.057102315,.019212762,.039762862,.1125778,.087954387
1971m4,.43292046,1.0412812,.13834238,.50940514,.83026886,1.2270808,.029455934,.15545562,.013585856,.033480749,.061767891,.094461419,.69175959,.83774328,.17800331,.65582991,1.0258675,1.4144421,.037394173,.087173454,.017385442,.042844381,.079042651,.10587298
1971m5,.46827793,1.0688543,.13817549,.52785873,.8960247,1.1761546,.063579939,.097362302,.00013986704,.078440689,.09483818,.080184087,.70667267,.87051392,.17777681,.67900419,1.0996222,1.35355,.076550066,.042988311,.00017910002,.10044347,.11137682,.10267591
1971m6,.48519373,1.196146,.12396574,.55646896,.86653233,1.2322903,.054503273,.13675064,0,.063485719,.034402065,.15340911,.72495937,.8387804,.15946627,.71531534,1.0573268,1.4247179,.061288714,.032587197,0,.081190214,.034204345,.18518494
1971m7,.40849447,1.1740208,.12142658,.55931807,.82067251,1.3174891,-.0051130797,.063026778,.000076025281,.035524804,.060036913,.14737654,.72478056,.80829859,.15619993,.7185936,.98196268,1.5381932,.033067405,.059935886,.000097150281,.045396011,.055548858,.18832779
1971m8,.44401884,1.1235476,.12142658,.547719,.84023476,1.358366,.011517209,.040451553,0,.051362235,.078886703,.11209129,.70632696,.57799816,.15619993,.70308447,1.0112882,1.5741706,.01777201,-.16099939,0,.065519243,.10063028,.12217944
1971m9,.25528669,1.0865211,.12116432,.55947304,.88647604,1.234746,-.039009187,.025360975,0,.049241841,.078239679,.041494209,.54199696,.57356954,.15586615,.71767569,1.0651469,1.4325142,-.066798024,.035816576,0,.062706821,.095040865,.047745761
1971m10,.20787716,.93288422,.089919567,.54290295,.8600235,1.1673808,.012492185,.027584201,.000083599443,.016996074,.039146874,.061544538,.4725337,.46095848,.11559725,.69602728,1.0313153,1.3731599,-.0038956429,.014162328,.00010634946,.021621235,.050695311,.07829272
1971m11,.17123818,.88632107,.089919567,.52946806,.80486536,1.1303186,-.0070446976,.053345699,0,.035628721,.052228868,.07295306,.4306674,.33949614,.11559725,.67818165,.95384121,1.3432503,-.011658721,.049974643,0,.045315448,.05519069,.088307038
1971m12,.19881725,.91497898,.090074539,.4779458,.77757835,1.1118054,.1437698,.068056509,.00015937003,.044725005,.079561934,.05873948,.32293797,.3896594,.1157999,.61073303,.90321302,1.3390422,.022912422,.0739813,.00020249278,.056826808,.087373175,.074633352
1972m1,.26471615,1.0498762,.056314468,.52368641,.7819891,1.1141658,.021740792,.17396954,0,.045893103,.036346614,.13319135,.31000376,.43247938,.072193146,.66882372,.91078281,1.3394594,.080312848,.087327845,0,.058249023,.037784595,.16399798
1972m2,.46758652,.98698139,.028836727,.5297184,.72842836,1.1550903,.20637372,.0053962469,-.00019992724,.043112334,.024033587,.11561281,.28556585,.39093494,.036931038,.67565441,.84300041,1.3950944,.03947898,.010394333,-.00025244674,.054437645,.022015102,.1459835
1972m3,.53454638,.80988407,.014835596,.54351091,.66975355,1.1372447,.042127438,-.038206939,.00099536765,.044750169,.029347103,.063596226,.33658743,.32014251,.018978119,.69272518,.76311827,1.3774514,.049911428,-.013417505,.0012620431,.056739483,.033044968,.070480816
1972m4,.4950285,.69564581,.014203787,.51007271,.63853264,1.1234641,-.0099596819,.041573238,.012959828,.00018147488,.030699573,.080790021,.32402277,.29432774,.018036366,.64988136,.72382689,1.3631821,.024841376,.061330125,.016442949,.00023024864,.039977096,.091757372
1972m5,.47585964,.62667131,.044029951,.44629574,.57471991,1.1135578,.04446112,.028473634,.0299566,.014912269,.031180836,.070202179,.27154684,.28187633,.055873394,.56797266,.65184832,1.3441205,.024169262,.030575475,.038013764,.018923093,.039567277,.083538309
1972m6,.42095184,.49580336,.044590235,.42140484,.60924292,.99865198,-.00032689722,.0061802058,.00055487733,.038738403,.068831995,.038880616,.22796988,.25490522,.056576729,.53570271,.70585012,1.1966944,.017792353,.0056683859,.00070435251,.049173918,.088128716,.038343772
1972m7,.47510862,.55253506,.044512749,.43182373,.57830811,.96336603,.048933242,.11967762,0,.04589279,.029234085,.11214162,.24409294,.2047956,.056481361,.54857731,.68175793,1.1459708,.049182501,.0099609205,0,.05816564,.031565621,.13773313
1972m8,.60535669,.49080849,.057077408,.41532516,.51724911,.95843077,.14159626,-.021043334,.012570077,.03487435,.017958989,.10694715,.26158094,.33839941,.072407722,.52717924,.60366392,1.1447549,.035255156,-.027484436,.015923774,.044178825,.02275045,.12065905
1972m9,.86603165,.52988529,.10024309,.37305355,.49167871,.97538233,.22102888,.06433814,.043146051,.0070561613,.052727997,.058345415,.41474104,.35713911,.12712479,.47324896,.56504011,1.1712074,.086205915,.054532807,.054675493,.0089416998,.056460902,.073936403
1972m10,.90469122,.43413639,.10015965,.36385059,.51440001,.97695589,.051011447,-.067840993,0,.0078079873,.061817434,.063071162,.47168732,.19761324,.1270175,.46154261,.58395863,1.1671662,.052928325,-.14516959,0,.0099043604,.069565058,.074307702
1972m11,.94072819,.46904087,.10015965,.39054155,.49086809,.99461079,.028899536,.088299081,0,.062294129,.02870973,.090589337,.48661232,.18880367,.1270175,.49533844,.56519508,1.1835456,.003221194,.041188609,0,.079068124,.036440425,.10462987
1972m12,.89035034,.45223236,.10000467,.41987896,.45534372,.98999739,.093424574,.051270194,0,.073998481,.044151481,.05422255,.49684048,.17359257,.12681484,.53248405,.52797794,1.1728168,.033147704,.058779772,0,.093902297,.05025018,.064025924
1973m1,.89854002,.49042702,.1173377,.43486357,.4021287,.85617304,.029927419,.21209614,.017335199,.060803868,-.016824925,-9.5193172e-06,.43863058,.084608793,.14880896,.55150986,.46294928,.97571611,.022214921,-.0016829954,.021992655,.077140078,-.027121188,-.031942345
1973m2,.76916218,.7552743,.11754036,.43314695,.47361851,.78104734,.07733164,.26949927,0,.041340664,.095450446,.040737361,.46967268,.10187626,.1490593,.5494833,.56121349,.86991787,.07042484,.027648058,0,.052332234,.12011348,.040577184
1973m3,.80779791,1.2063026,.12917519,.41370392,.47419071,.86810589,.080679074,.41026202,.012641032,.025442079,.029932015,.15040655,.50376654,.17136335,.16379356,.52474737,.55472851,.99024773,.083927378,.056086741,.016000351,.032203238,.026595566,.19037667
1973m4,.88658333,1.514554,.11621714,.46651363,.51242113,.994277,.06854745,.34863353,0,.052839309,.068865463,.20642799,.56017637,.20906925,.1473546,.59155226,.59102774,1.1559725,.081161447,.099087119,0,.066788189,.076156422,.25672162
1973m5,1.0147214,1.5670657,.086128712,.52068233,.51409006,1.0597706,.17234951,.080423392,-.00011993758,.06898877,.032855064,.13542604,.5839467,.22345781,.10915995,.6600976,.59270859,1.2401938,.047940716,.044967879,-.00015181521,.087324969,.04126098,.16732843
1973m6,1.0761142,1.7947912,.086605549,.48137903,.54918528,1.1950731,.060870118,.23284049,.0010389069,-.00052903063,.10384081,.17334053,.60397387,.27314425,.10977983,.61018467,.62098503,1.4227152,.037740227,.055307172,.0013165433,-.00067040819,.11635533,.21966386
1973m7,1.0556698,1.7314434,.086605549,.48735142,.58828592,1.2442231,.028558992,.056814857,0,.051829703,.068268888,.16153298,.58176517,.31629801,.10977983,.61781406,.67156553,1.4894605,.027025348,.0530941,0,.065754846,.082068853,.20471108
1973m8,.94555616,2.5794744,.13403893,.47622919,.62441826,1.324439,.031762633,.81713742,.059985213,.023785617,.054041669,.18665916,.57835579,.37667751,.17035007,.60392618,.71253777,1.6038418,.031831674,.032790598,.076468438,.030321622,.063623041,.23416926
1973m9,.7517457,2.5292993,.090897083,.49827099,.63843727,1.5363455,.027647134,.015309787,0,.029018646,.066744938,.26931167,.52598715,.35640001,.11566877,.63208342,.7256031,1.8664837,.033979174,.034287766,0,.036953676,.069505326,.33526915
1973m10,.70964098,2.8869629,.13213158,.49247742,.65157413,1.6349554,.0089935726,.28376311,.041239977,.0020278741,.074911155,.16106603,.48180819,.5512476,.1681447,.62471628,.75142384,1.9749403,.0088085523,.049149979,.052472569,.0025802092,.095314816,.18192497
1973m11,.72530508,3.2871008,.13213158,.48402548,.78397989,1.6245604,.044581976,.48371163,0,.053861167,.16080718,.080218606,.5309701,.5972743,.1681447,.61424971,.89000463,1.9726157,.052306376,.087144509,0,.068653233,.17470726,.1022493
1973m12,.75138807,3.5686255,.13213158,.49277544,.82042217,1.7906308,.11939717,.32654166,0,.082724713,.080464117,.21935622,.52732229,.60373545,.1681447,.62615871,.93945265,2.1647811,.029494055,.065248512,0,.10574538,.099531211,.25509411
1974m1,.91773272,3.8189054,.11882782,.42102337,.94414949,1.9967556,.19584666,.45701084,.0040391232,-.010720602,.10652931,.20396259,.61502457,.67846775,.15128851,.53496361,1.0971427,2.3918629,.10973718,.072827265,.0051663779,-.013712551,.13000505,.19231269
1974m2,1.4435768,3.7332773,.12239218,.42103529,1.003778,2.1276474,.60191923,.18624863,.0035562487,.041338075,.15485199,.17002624,.58841705,.8482933,.1558423,.53555965,1.1756539,2.4974346,.04386365,.19688064,.0045560091,.05295936,.19838521,.14467995
1974m3,1.9237638,3.5009146,.11039972,.39746761,1.1790752,2.1919131,.55866891,.18314408,.00065427792,.0018559067,.204561,.21355341,.61343908,.9947896,.14067888,.50575733,1.3574123,2.5696874,.1090053,.20184673,.0008416092,.0023872855,.20743676,.2611804
1974m4,1.9462585,3.4125328,.12367964,.37186146,1.2355208,2.1762133,.090806611,.25866783,.013284434,.027327556,.12501216,.19120044,.61738491,1.1540532,.15777349,.47402382,1.4426589,2.5105715,.08510305,.25766054,.017096857,.035170138,.16088869,.19883125
1974m5,1.8512011,3.8081169,.12379885,.30738115,1.4487147,2.2332549,.078050703,.46969381,0,.0045545637,.24503222,.1918478,.66708326,1.4554977,.15792847,.39249659,1.6750336,2.5914073,.097511888,.34496477,0,.0058697686,.27224103,.24724701
1974m6,1.8689036,3.9273858,.12323856,.3874898,1.5637755,2.1875024,.078366339,.34707507,.0004792632,.079471245,.21816123,.12795131,.71152449,1.8338084,.15722513,.49580336,1.8412471,2.5053978,.082148403,.43049949,.00061801495,.10247903,.2813212,.13455282
1974m7,2.0628333,4.0641904,.12530088,.37580729,1.5543103,2.2538304,.22137412,.1908204,.0020646765,.040188678,.05860658,.22693926,.91640949,2.0529151,.15990734,.48186779,1.7986536,2.595222,.23130256,.26977965,.0026679216,.051930767,.039477773,.29324502
1974m8,2.1848917,3.709352,.093853474,.36400557,1.6218662,2.323103,.1529637,.47611472,.028507967,.012012149,.12083054,.25605491,1.0373592,2.3501754,.1203537,.46702623,1.837647,2.6924133,.15213019,.32679987,.036893565,.015545514,.10198227,.33137324
1974m9,2.5099158,3.9748788,.093853474,.41365623,1.624763,2.32687,.34999886,.27504116,0,.078609891,.06971506,.27286074,1.0838032,2.6447415,.1203537,.53189993,1.8134594,2.7103305,.080165774,.32470393,0,.10162903,.045701995,.35276183
1974m10,2.6093841,3.9896727,.054430962,.50147772,1.5824318,2.3611784,.10742433,.29670697,.0018384097,.089603409,.032923099,.19529592,1.1946917,2.8787851,.070238113,.64593554,1.7603755,2.7580023,.11925483,.27952072,.0023835469,.1161732,.042685673,.22921406
1974m11,2.8146744,3.6373019,.054430962,.51444769,1.519084,2.4855733,.24886097,.13560475,0,.066666529,.09775041,.20362462,1.2493491,2.9734135,.070238113,.66417456,1.6983509,2.9016733,.10696065,.18028203,0,.086696185,.11277656,.24478151
1974m12,2.754879,3.6357641,.077402592,.48956871,1.5924215,2.4389029,.059899118,.32597548,.022965973,.057956249,.15355228,.17267394,1.2953043,3.0619264,.10010004,.63364506,1.7595649,2.8582573,.07521522,.15247832,.029854253,.07533931,.16080269,.21145616
1975m1,2.6006937,3.2993436,.073361397,.65779686,1.5486598,2.4678826,.04324222,.12772994,0,.1567798,.063156992,.23321703,1.2179494,3.0614972,.094938278,.85231066,1.7111301,2.8583884,.03264292,.072187439,0,.20375398,.082080022,.19339137
1975m2,2.0397663,3.2256126,.06980896,.69369078,1.569128,2.4264455,.044489179,.11407132,0,.077029161,.17531566,.12915382,1.2927413,2.9905438,.090384483,.89939833,1.7243147,2.8579235,.11814038,.12777227,0,.099723987,.21165058,.14428182
1975m3,1.522541,3.1072974,.097692013,.70226192,1.4685988,2.3056388,.043058723,.067935131,.028522793,.010448567,.10452022,.094188802,1.2343764,2.9650211,.12640953,.91048479,1.6514063,2.7124286,.050913926,.17708997,.036839355,.013495118,.13499577,.11757702
1975m4,1.399827,2.9680252,.084745884,.74837208,1.4625192,2.1747947,-.031448442,.12194803,.00034203485,.073180631,.11900169,.062018853,1.2056947,2.8555751,.10973215,.97060204,1.5966177,2.5922894,.056678161,.14997022,.00044327986,.094842665,.10658904,.080376908
1975m5,1.3943434,2.5082231,.084745884,.8186698,1.2935162,2.1471858,.072762072,.015708672,0,.074864022,.07682924,.16449718,1.1313796,2.5106192,.10973215,1.0618448,1.4120102,2.5581121,.023555757,.0040656887,0,.097155929,.08859279,.21347871
1975m6,1.3480544,2.4063945,.083756447,.81416368,1.1598706,2.2079945,.031945396,.24617545,-.00051546865,.074671529,.085164189,.18837777,1.095438,2.0964742,.10844469,1.0564566,1.2401223,2.6369929,.046218991,.02165433,-.00066653144,.096554697,.11022552,.21277894
